name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"25.0173, 121.5398",2023-10-01T00:00:00,27.0,30.6,25.0,88.75,0.1,100.0,rain,0,0,27.4,20.5,79.0,1010.0,49.3,10.0,0.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T01:00:00,27.0,30.6,25.0,88.66,0.0,0.0,,0,0,27.0,20.5,79.0,1009.0,49.3,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T02:00:00,27.4,31.8,25.4,88.46,0.0,0.0,,0,0,25.9,21.3,90.0,1009.1,27.5,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T03:00:00,27.0,30.1,24.0,83.68,0.0,0.0,,0,0,23.8,18.4,79.0,1008.0,49.3,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T04:00:00,27.0,30.1,24.0,83.68,0.0,0.0,,0,0,22.7,18.5,79.0,1008.0,27.5,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T05:00:00,27.1,30.6,24.6,86.1,0.0,0.0,,0,0,21.6,20.0,86.0,1009.3,49.3,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T06:00:00,26.0,26.0,24.0,88.59,0.0,0.0,,0,0,22.0,20.5,98.0,1010.0,49.3,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T07:00:00,28.0,32.0,24.0,78.84,0.0,0.0,,0,0,21.2,16.8,89.0,1010.0,27.9,10.0,6.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T08:00:00,28.9,33.6,24.2,75.9,0.0,0.0,,0,0,20.9,20.6,93.0,1011.3,29.4,23.4,8.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T09:00:00,30.1,35.1,24.0,69.95,0.0,0.0,,0,0,21.2,20.6,89.0,1011.0,49.6,10.0,9.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T10:00:00,30.1,35.2,24.0,70.23,0.0,0.0,,0,0,22.3,22.7,79.0,1011.0,50.0,10.0,14.0,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T11:00:00,31.1,36.9,24.2,67.05,0.0,0.0,,0,0,21.2,20.7,76.0,1011.3,57.1,23.4,15.0,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T12:00:00,32.0,38.0,24.0,62.84,0.1,100.0,rain,0,0,22.0,21.1,69.0,1011.0,50.0,10.0,9.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T13:00:00,32.9,39.2,24.0,59.67,0.0,0.0,rain,0,0,23.4,28.1,78.0,1010.0,50.7,10.0,9.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T14:00:00,29.6,35.9,25.4,78.24,0.0,0.0,rain,0,0,53.6,27.4,79.0,1010.2,89.7,23.4,44.0,0.2,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T15:00:00,28.0,32.7,25.0,83.79,0.0,0.0,,0,0,57.6,28.1,79.0,1010.0,89.0,9.9,30.0,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
